A,C,D,FW,I,N,P,SHI,T,V,Punctuation
A,Caa,D,FW,I,Na,P,SHI,T,VA,COLONCATEGORY
,Cab,Da,,,Nb,,,,VAC,COMMACATEGORY
,Cba,DE,,,Nc,,,,VB,DASHCATEGORY
,Cbb,Dfa,,,Ncd,,,,VC,DOTCATEGORY
,,Dfb,,,Nd,,,,VCL,ETCCATEGORY
,,Di,,,Nep,,,,VD,EXCLAMATIONCATEGORY
,,Dk,,,Neqa,,,,VE,PARENTHESISCATEGORY
,,DM,,,Neqb,,,,VF,PAUSECATEGORY
,,,,,Nes,,,,VG,PERIODCATEGORY
,,,,,Neu,,,,VH,QUESTIONCATEGORY
,,,,,Nf,,,,VHC,SEMICOLONCATEGORY
,,,,,Ng,,,,VI,SPCHANGECATEGORY
,,,,,Nh,,,,VJ,WHITESPACE
,,,,,Nv,,,,VK,
,,,,,,,,,VL,
,,,,,,,,,V_2,
